timestamp,latency_ms
1747492434123,508
1747492434177,455
1747492434227,403
1747492434278,352
1747492434329,302
1747492434381,250
1747492434432,198
1747492434483,148
1747492434534,98
1747492434585,44
1747492434636,497
1747492434687,446
1747492434738,394
1747492434789,345
1747492434840,293
1747492434891,241
1747492434941,192
1747492434993,139
1747492435044,89
1747492435095,38
1747492435198,458
1747492435249,406
1747492435351,305
1747492435403,252
1747492435454,201
1747492435505,151
